modelo;fold_externo;fold_interno;parametros;c_index_validacao_interna;n_genes_inner
RSF;2;2;"n_estimators=100; min_samples_split=15; min_samples_leaf=10; max_features=sqrt";0.6930462612743672;17
RSF;2;3;"n_estimators=100; min_samples_split=15; min_samples_leaf=10; max_features=sqrt";0.7340970756707869;17
RSF;2;1;"n_estimators=100; min_samples_split=15; min_samples_leaf=10; max_features=5";0.6967026719727117;20
RSF;2;2;"n_estimators=100; min_samples_split=15; min_samples_leaf=10; max_features=5";0.714867617107943;17
RSF;2;3;"n_estimators=100; min_samples_split=15; min_samples_leaf=10; max_features=5";0.722640940608984;17
RSF;2;1;"n_estimators=100; min_samples_split=15; min_samples_leaf=20; max_features=sqrt";0.7043774872086412;20
RSF;2;2;"n_estimators=100; min_samples_split=15; min_samples_leaf=20; max_features=sqrt";0.6939191155077102;17
RSF;2;3;"n_estimators=100; min_samples_split=15; min_samples_leaf=20; max_features=sqrt";0.7340970756707869;17
RSF;2;1;"n_estimators=100; min_samples_split=15; min_samples_leaf=20; max_features=5";0.7040932347924957;20
RSF;2;2;"n_estimators=100; min_samples_split=15; min_samples_leaf=20; max_features=5";0.7075938318300844;17
RSF;2;3;"n_estimators=100; min_samples_split=15; min_samples_leaf=20; max_features=5";0.7295749170937594;17
RSF;2;1;"n_estimators=100; min_samples_split=25; min_samples_leaf=10; max_features=sqrt";0.6955656623081297;20
RSF;2;2;"n_estimators=100; min_samples_split=25; min_samples_leaf=10; max_features=sqrt";0.7000290951411114;17
RSF;2;3;"n_estimators=100; min_samples_split=25; min_samples_leaf=10; max_features=sqrt";0.7310823032861019;17
RSF;2;1;"n_estimators=100; min_samples_split=25; min_samples_leaf=10; max_features=5";0.7057987492893689;20
RSF;2;2;"n_estimators=100; min_samples_split=25; min_samples_leaf=10; max_features=5";0.7081757346523131;17
RSF;2;3;"n_estimators=100; min_samples_split=25; min_samples_leaf=10; max_features=5";0.7187217365088936;17
RSF;2;1;"n_estimators=100; min_samples_split=25; min_samples_leaf=20; max_features=sqrt";0.7043774872086412;20
RSF;2;2;"n_estimators=100; min_samples_split=25; min_samples_leaf=20; max_features=sqrt";0.6939191155077102;17
RSF;2;3;"n_estimators=100; min_samples_split=25; min_samples_leaf=20; max_features=sqrt";0.7340970756707869;17
RSF;2;1;"n_estimators=100; min_samples_split=25; min_samples_leaf=20; max_features=5";0.7040932347924957;20
RSF;2;2;"n_estimators=100; min_samples_split=25; min_samples_leaf=20; max_features=5";0.7075938318300844;17
RSF;2;3;"n_estimators=100; min_samples_split=25; min_samples_leaf=20; max_features=5";0.7295749170937594;17
RSF;2;1;"n_estimators=200; min_samples_split=15; min_samples_leaf=10; max_features=sqrt";0.6986924388857305;20
RSF;2;2;"n_estimators=200; min_samples_split=15; min_samples_leaf=10; max_features=sqrt";0.7032295606633692;17
RSF;2;3;"n_estimators=200; min_samples_split=15; min_samples_leaf=10; max_features=sqrt";0.7343985529092554;17
RSF;2;1;"n_estimators=200; min_samples_split=15; min_samples_leaf=10; max_features=5";0.7057987492893689;20
RSF;2;2;"n_estimators=200; min_samples_split=15; min_samples_leaf=10; max_features=5";0.7041024148967122;17
RSF;2;3;"n_estimators=200; min_samples_split=15; min_samples_leaf=10; max_features=5";0.726258667470606;17
RSF;2;1;"n_estimators=200; min_samples_split=15; min_samples_leaf=20; max_features=sqrt";0.698408186469585;20
RSF;2;2;"n_estimators=200; min_samples_split=15; min_samples_leaf=20; max_features=sqrt";0.6965376782077393;17
RSF;2;3;"n_estimators=200; min_samples_split=15; min_samples_leaf=20; max_features=sqrt";0.7325896894784444;17
RSF;2;1;"n_estimators=200; min_samples_split=15; min_samples_leaf=20; max_features=5";0.7066515065378056;20
RSF;2;2;"n_estimators=200; min_samples_split=15; min_samples_leaf=20; max_features=5";0.7084666860634274;17
RSF;2;3;"n_estimators=200; min_samples_split=15; min_samples_leaf=20; max_features=5";0.7413325293940307;17
RSF;2;1;"n_estimators=200; min_samples_split=25; min_samples_leaf=10; max_features=sqrt";0.6975554292211483;20
RSF;2;2;"n_estimators=200; min_samples_split=25; min_samples_leaf=10; max_features=sqrt";0.7070119290078557;17
RSF;2;3;"n_estimators=200; min_samples_split=25; min_samples_leaf=10; max_features=sqrt";0.726258667470606;17
RSF;2;1;"n_estimators=200; min_samples_split=25; min_samples_leaf=10; max_features=5";0.6969869243888573;20
RSF;2;2;"n_estimators=200; min_samples_split=25; min_samples_leaf=10; max_features=5";0.7052662205411696;17
RSF;2;3;"n_estimators=200; min_samples_split=25; min_samples_leaf=10; max_features=5";0.726258667470606;17
RSF;2;1;"n_estimators=200; min_samples_split=25; min_samples_leaf=20; max_features=sqrt";0.698408186469585;20
RSF;2;2;"n_estimators=200; min_samples_split=25; min_samples_leaf=20; max_features=sqrt";0.6965376782077393;17
RSF;2;3;"n_estimators=200; min_samples_split=25; min_samples_leaf=20; max_features=sqrt";0.7325896894784444;17
RSF;2;1;"n_estimators=200; min_samples_split=25; min_samples_leaf=20; max_features=5";0.7066515065378056;20
RSF;2;2;"n_estimators=200; min_samples_split=25; min_samples_leaf=20; max_features=5";0.7084666860634274;17
RSF;2;3;"n_estimators=200; min_samples_split=25; min_samples_leaf=20; max_features=5";0.7413325293940307;17
RSF;3;1;"n_estimators=100; min_samples_split=15; min_samples_leaf=10; max_features=sqrt";0.5891603482167931;20
RSF;3;2;"n_estimators=100; min_samples_split=15; min_samples_leaf=10; max_features=sqrt";0.7278499278499279;13
RSF;3;3;"n_estimators=100; min_samples_split=15; min_samples_leaf=10; max_features=sqrt";0.6743119266055045;19
RSF;3;1;"n_estimators=100; min_samples_split=15; min_samples_leaf=10; max_features=5";0.6093793878124123;20
RSF;3;2;"n_estimators=100; min_samples_split=15; min_samples_leaf=10; max_features=5";0.6992784992784993;13
RSF;3;3;"n_estimators=100; min_samples_split=15; min_samples_leaf=10; max_features=5";0.6877866972477065;19
RSF;3;1;"n_estimators=100; min_samples_split=15; min_samples_leaf=20; max_features=sqrt";0.631283347374333;20
RSF;3;2;"n_estimators=100; min_samples_split=15; min_samples_leaf=20; max_features=sqrt";0.7111111111111111;13
