coorte;modelo;fold_externo;fold_interno;parametros;c_index_validacao_interna;n_genes_inner
LUSC;RSF;1;2;"n_estimators=100; min_samples_split=15; min_samples_leaf=20; max_features=5";0.6478097622027534;8
LUSC;RSF;1;3;"n_estimators=100; min_samples_split=15; min_samples_leaf=20; max_features=5";0.5927884615384615;9
LUSC;RSF;1;1;"n_estimators=100; min_samples_split=25; min_samples_leaf=10; max_features=sqrt";0.5459741550695825;13
LUSC;RSF;1;2;"n_estimators=100; min_samples_split=25; min_samples_leaf=10; max_features=sqrt";0.6610763454317897;8
LUSC;RSF;1;3;"n_estimators=100; min_samples_split=25; min_samples_leaf=10; max_features=sqrt";0.5723557692307693;9
LUSC;RSF;1;1;"n_estimators=100; min_samples_split=25; min_samples_leaf=10; max_features=5";0.5907057654075547;13
LUSC;RSF;1;2;"n_estimators=100; min_samples_split=25; min_samples_leaf=10; max_features=5";0.660575719649562;8
LUSC;RSF;1;3;"n_estimators=100; min_samples_split=25; min_samples_leaf=10; max_features=5";0.578125;9
LUSC;RSF;1;1;"n_estimators=100; min_samples_split=25; min_samples_leaf=20; max_features=sqrt";0.5564115308151093;13
LUSC;RSF;1;2;"n_estimators=100; min_samples_split=25; min_samples_leaf=20; max_features=sqrt";0.644055068836045;8
LUSC;RSF;1;3;"n_estimators=100; min_samples_split=25; min_samples_leaf=20; max_features=sqrt";0.5896634615384615;9
LUSC;RSF;1;1;"n_estimators=100; min_samples_split=25; min_samples_leaf=20; max_features=5";0.5750497017892644;13
LUSC;RSF;1;2;"n_estimators=100; min_samples_split=25; min_samples_leaf=20; max_features=5";0.6478097622027534;8
LUSC;RSF;1;3;"n_estimators=100; min_samples_split=25; min_samples_leaf=20; max_features=5";0.5927884615384615;9
LUSC;RSF;1;1;"n_estimators=200; min_samples_split=15; min_samples_leaf=10; max_features=sqrt";0.5467196819085487;13
LUSC;RSF;1;2;"n_estimators=200; min_samples_split=15; min_samples_leaf=10; max_features=sqrt";0.6670838548185232;8
LUSC;RSF;1;3;"n_estimators=200; min_samples_split=15; min_samples_leaf=10; max_features=sqrt";0.5639423076923077;9
LUSC;RSF;1;1;"n_estimators=200; min_samples_split=15; min_samples_leaf=10; max_features=5";0.5608846918489065;13
LUSC;RSF;1;2;"n_estimators=200; min_samples_split=15; min_samples_leaf=10; max_features=5";0.6780976220275344;8
