gene;n;coef;HR;se;z;p;ci95_inf;ci95_sup;status;q_value;efeito
GAGE2A;494;0.13957935435258453;1.149790042942445;0.06373409310969229;2.190026523360982;0.028522313303925614;1.0147708538680411;1.302774057621389;ok;0.09653706041328669;alto_risco
SLC39A8;494;0.15023201698363334;1.1621038392790428;0.07128738715725991;2.107413709135133;0.03508173430749133;1.010566743447295;1.3363643144046573;ok;0.11025687925211561;alto_risco
SOX2;494;-0.12624692390257428;0.8813971818793206;0.06085016475697286;-2.074717864886431;0.03801269067564638;0.7823046351502536;0.993041530522953;ok;0.11150389264856272;protetor
NPY;494;-0.14976318089628685;0.8609118326541655;0.07880823224803302;-1.9003494511199976;0.05738727581386069;0.737695251664776;1.004709169445429;ok;0.14422108534201383;protetor
FGL1;494;0.1177074401879434;1.1249149583124285;0.06225481126257244;1.8907364394936177;0.05865953557843998;0.9956995258846748;1.270899132256511;ok;0.14422108534201383;alto_risco
ENG;494;0.128215572024756;1.1367980381395386;0.06790371207347363;1.8881968026434743;0.05899953491264203;0.995138597000808;1.298622908821669;ok;0.14422108534201383;alto_risco
TP63;494;-0.11148973102951332;0.8945005769561298;0.06143071563747921;-1.814885759876983;0.06954146735831235;0.7930319871912848;1.0089520915905401;ok;0.16104339809293386;protetor
KLRC2;494;-0.12171696938953507;0.8853989280420536;0.07177574121349378;-1.6957953666753967;0.0899246402605323;0.7692072521562924;1.01914179771505;ok;0.19783420857317108;protetor
CALCB;494;-0.11653108833548569;0.8900024278525261;0.07182023363856511;-1.622538418935361;0.10468811389474889;0.7731392072356199;1.0245300124095134;ok;0.2193465243509024;protetor
SAMD9L;494;0.10428890715324506;1.1099210727364124;0.07070283831279506;1.4750314081007967;0.140204099568517;0.9662949988618562;1.274895129494991;ok;0.27466897109774074;alto_risco
AMH;494;-0.10030566413301485;0.9045608839564842;0.06871675935257676;-1.4596972423911834;0.144373300128923;0.79058030681132;1.034974417822698;ok;0.27466897109774074;protetor
ADRA1D;494;0.09849970295955178;1.1035140766060267;0.06839451901212827;1.4401695396393535;0.14981943878058585;0.9650734263613724;1.2618141625336463;ok;0.27466897109774074;alto_risco
CDH12;494;-0.09250832934155394;0.9116416175584303;0.06931987991763333;-1.3345136986889388;0.18203556044027897;0.7958275221020401;1.0443097477571148;ok;0.30141250491006927;protetor
NR4A1;494;0.09393537755568904;1.0984887565949475;0.07109185740825623;1.321324002216601;0.18639335414603148;0.9556131500752574;1.262725976793522;ok;0.30141250491006927;alto_risco
HTR3A;494;0.09069553568168884;1.094935585687169;0.06874862185485628;1.3192342367701189;0.18709081571783637;0.9569067931111119;1.252874308589943;ok;0.30141250491006927;alto_risco
NOTCH1;494;0.0853631643383957;1.0891125217148596;0.06539989074212499;1.3052493416997728;0.19180795767004408;0.9580854908506852;1.2380587079999534;ok;0.30141250491006927;alto_risco
KEAP1;494;-0.08032949771015999;0.9228122317695766;0.06664476582084863;-1.2053384346206275;0.22807267787137597;0.8098138775861549;1.0515779473203066;ok;0.3374936385998868;protetor
NFE2L2;494;-0.08357862248599027;0.9198187653902388;0.06964436258190985;-1.2000773556896598;0.23010929904537736;0.8024553494241203;1.0543472129274236;ok;0.3374936385998868;protetor
PTEN;494;0.07790284638743677;1.0810176288002675;0.07690386067115441;1.0129900593749654;0.31106490909810575;0.9297626403875472;1.2568789742829989;ok;0.44151148388118233;alto_risco
LIM2;494;-0.06281552080107938;0.9391167052073057;0.07277179930978613;-0.8631849342308642;0.38803579569543256;0.8142843688233001;1.0830862285541512;ok;0.5260939658118967;protetor
FGFR1;494;-0.05593800244726468;0.9455977588200573;0.06570443647161782;-0.8513580733841021;0.39457047435892256;0.831340075352738;1.0755587851411166;ok;0.5260939658118967;protetor
ABCC4;494;0.048211626958189424;1.0493927116145982;0.063484035175828;0.7594291513553055;0.4475958807015976;0.9266171519138063;1.1884358722644008;ok;0.5755365006081794;alto_risco
RB1;494;0.04919999981639015;1.0504304156231141;0.06626685124495994;0.7424526575816767;0.45781312548377906;0.9224882484164008;1.1961171971136961;ok;0.5755365006081794;alto_risco
VGF;494;0.0511680071555729;1.0524997059117263;0.07172043849874517;0.7134368978581768;0.4755754475821633;0.9144783649178303;1.2113524752920828;ok;0.5812588803781995;alto_risco
PIK3CA;494;-0.04684504424314395;0.9542352503801962;0.0685823492421452;-0.683048113119414;0.49457644071350737;0.8342151145782776;1.0915229143606149;ok;0.5881449565241709;protetor
FUT7;494;0.04315792728050866;1.0441027741424926;0.06953972634967913;0.6206226217153901;0.5348479519082479;0.9110682818836056;1.1965630070209405;ok;0.6192976285253396;alto_risco
CCL19;494;0.037807596090550136;1.0385313961537244;0.06957927462793911;0.5433743926293928;0.5868720531000149;0.9061365414877209;1.1902703526625402;ok;0.6483581756176727;alto_risco
CD1E;494;-0.037689434789483646;0.9630119724703534;0.06983640695275192;-0.5396817567516407;0.5894165232887933;0.8398211913652707;1.104273229416382;ok;0.6483581756176727;protetor
DAG1;494;0.028403443396516598;1.0288106675747888;0.06932267986396477;0.40972800607613613;0.6820054834349861;0.8981065973380249;1.1785364820311055;ok;0.7319083236863266;alto_risco
TP53;494;-0.013923657682978305;0.9861728281078354;0.06890498988389854;-0.20207038280448153;0.8398617013328333;0.8615906921246842;1.1287689801986238;ok;0.8798551156820158;protetor
CD27;494;0.010500963339611808;1.0105562919534634;0.07042853529477518;0.14910097584254084;0.8814739558876759;0.8802613479259819;1.1601372951486275;ok;0.9019733502106451;alto_risco
CDKN2A;494;0.0005983063201899969;1.0005984853411176;0.07171831767028969;0.008342447782177322;0.9933437669237349;0.8693869130916456;1.1516130663924526;ok;0.9933437669237349;alto_risco
