gene;n;coef;HR;se;z;p;ci95_inf;ci95_sup;status;q_value;efeito
PIK3CA;502;0.13376274580266895;1.1431215770769791;0.07654630236200503;1.7474749488234482;0.08055498663816452;0.9838663149240271;1.3281549740625724;ok;0.13012728610780422;alto_risco
RBM10;502;-0.12282768964237754;0.8844160434767773;0.07315950956640746;-1.6789025838245388;0.09317103090490042;0.7662722968297763;1.0207751750848915;ok;0.14078891148873546;protetor
PPARD;502;0.1285903448732043;1.1372241590226835;0.0767528435221563;1.6753821613929396;0.09385927432582362;0.9783943551060912;1.321837949202614;ok;0.14078891148873546;alto_risco
SETD2;502;-0.11352247499617941;0.8926841331132435;0.06939974756035384;-1.6357764831558503;0.10188637555976685;0.7791564017875086;1.02275353149119;ok;0.1475595783969037;protetor
EGFR;502;0.11513338066934449;1.1220230837816954;0.07511446872605992;1.5327723489496048;0.1253319558525981;0.9684210931114899;1.299988000565008;ok;0.17546473819363734;alto_risco
RB1;502;-0.10132134805070499;0.9036426024349072;0.07369489378741244;-1.3748760985121513;0.16916986047546925;0.7821093724735418;1.044061075950034;ok;0.2291978754828938;protetor
S100A6;502;0.10153579560140841;1.1068695387436343;0.0791926128765395;1.2821372084250042;0.19979451843435106;0.9477364009346619;1.2927225065854673;ok;0.2622303054450858;alto_risco
BRAF;502;-0.0831144873387961;0.920245784697974;0.07402627851118523;-1.1227700353224923;0.26153517466192117;0.7959624026299168;1.06393505705336;ok;0.33286294956971785;protetor
TP53;502;-0.06847810273616317;0.9338139078491619;0.07389391029468695;-0.9267083371697927;0.35407798764937803;0.8079076628918103;1.0793416804233193;ok;0.4373904553315846;protetor
RIT1;502;-0.06846193285939602;0.9338290076270557;0.07618604905422784;-0.8986150838543427;0.36885772148062423;0.8042992760837;1.0842190729449102;ok;0.44262926577674905;protetor
U2AF1;502;0.0574752380108851;1.05915904344531;0.07061277736784485;0.8139495450161655;0.4156738559105032;0.9222644610181978;1.2163733145192164;ok;0.4849528318955871;alto_risco
SMARCA4;502;-0.05468865120974398;0.9467798808392773;0.07296793303147614;-0.749488836228278;0.45356262485191023;0.8206133980425249;1.0923440257011066;ok;0.5148548714535197;protetor
CDKN2A;502;0.03994003843522263;1.040748367420753;0.07481145562134467;0.5338759699768123;0.5934273485199135;0.8988063082115881;1.205106322010789;ok;0.6558933852062202;alto_risco
ARID1A;502;-0.03542311772863044;0.9651969379103956;0.0703999434441107;-0.503169690139769;0.6148449728500688;0.8407974675366224;1.108001825553817;ok;0.6621407399923818;protetor
KEAP1;502;-0.02061775235246646;0.9795933402626421;0.07656637518492876;-0.26927946246206563;0.7877146352541463;0.8430870280888314;1.1382017280733352;ok;0.8271003670168536;protetor
STK11;502;0.013430632093463997;1.0135212281658372;0.07372450750612683;0.18217323584491701;0.8554467762220042;0.8771592243424949;1.1710818873423798;ok;0.8734712924575229;alto_risco
NF1;502;-0.012035618596537075;0.9880365197610086;0.07557650957097743;-0.15925078658513414;0.8734712924575229;0.8520050240201861;1.1457868637618702;ok;0.8734712924575229;protetor
